democrat				republican			
Token	LL	F	F2	Token	LL	F	F2
ohio	151.91	0.15	2.72	ohio	151.91	2.72	0.15
2019	151.09	1.58	5.98	2019	151.09	5.98	1.58
ned	149.95	1.86	0.0	ned	149.95	0.0	1.86
conference	146.57	3.44	9.09	conference	146.57	9.09	3.44
pa	144.91	2.02	0.03	pa	144.91	0.03	2.02
mcmaster	143.67	0.0	1.91	mcmaster	143.67	1.91	0.0
if	143.23	20.44	11.5	if	143.23	11.5	20.44
governor.pa.gov	142.22	1.77	0.0	governor.pa.gov	142.22	0.0	1.77
governor.nd.gov	139.95	0.0	1.86	governor.nd.gov	139.95	1.86	0.0
larry	139.06	0.21	2.72	larry	139.06	2.72	0.21
evers	138.51	1.84	0.02	evers	138.51	0.02	1.84
hawai'i	137.58	1.71	0.0	hawai'i	137.58	0.0	1.71
cuomo	135.92	2.06	0.07	cuomo	135.92	0.07	2.06
delaware's	134.49	1.67	0.0	delaware's	134.49	0.0	1.67
ct.gov/coronavirus	132.95	1.65	0.0	ct.gov/coronavirus	132.95	0.0	1.65
dakota's	132.52	0.0	1.76	dakota's	132.52	1.76	0.0
sc	131.64	0.17	2.49	sc	131.64	2.49	0.17
murphy	126.38	2.0	0.08	murphy	126.38	0.08	2.0
face	123.97	8.95	3.76	face	123.97	3.76	8.95
pete	123.4	0.12	2.17	pete	123.4	2.17	0.12
massachusetts	123.4	0.12	2.17	massachusetts	123.4	2.17	0.12
gun	123.24	2.59	0.28	gun	123.24	0.28	2.59
california	122.84	2.98	0.43	california	122.84	0.43	2.98
idaho's	122.61	0.0	1.63	idaho's	122.61	1.63	0.0
covering	122.28	3.32	0.58	covering	122.28	0.58	3.32
medium.com	122.13	1.52	0.0	medium.com	122.13	0.0	1.52
jared	120.78	1.79	0.05	jared	120.78	0.05	1.79
hampshire	118.8	0.12	2.11	hampshire	118.8	2.11	0.12
god	118.22	0.17	2.29	god	118.22	2.29	0.17
covid	117.93	45.66	32.86	covid	117.93	32.86	45.66
virginians	115.94	1.44	0.0	virginians	115.94	0.0	1.44
florida's	115.39	0.02	1.66	florida's	115.39	1.66	0.02
bit.ly/3bhqu4i	115.18	0.0	1.53	bit.ly/3bhqu4i	115.18	1.53	0.0
pandemic	114.31	13.02	6.75	pandemic	114.31	6.75	13.02
cooper	114.02	2.17	0.18	cooper	114.02	0.18	2.17
workforce	113.6	1.48	5.04	workforce	113.6	5.04	1.48
henry	113.21	0.1	1.96	henry	113.21	1.96	0.1
nm	112.61	1.52	0.02	nm	112.61	0.02	1.52
media	112.35	2.15	6.18	media	112.35	6.18	2.15
appreciate	111.24	1.48	4.99	appreciate	111.24	4.99	1.48
kate	110.34	1.58	0.03	kate	110.34	0.03	1.58
hoosiers	110.23	0.0	1.47	hoosiers	110.23	1.47	0.0
ny.gov	109.76	1.36	0.0	ny.gov	109.76	0.0	1.36
ige	109.76	1.36	0.0	ige	109.76	0.0	1.36
texans	108.99	0.0	1.45	texans	108.99	1.45	0.0
alabamians	108.08	0.02	1.56	alabamians	108.08	1.56	0.02
holcomb	107.75	0.0	1.43	holcomb	107.75	1.43	0.0
county	106.2	7.99	14.5	county	106.2	14.5	7.99
reported	105.44	3.53	0.81	reported	105.44	0.81	3.53
andrew	105.39	2.0	0.16	andrew	105.39	0.16	2.0
lamont	105.12	1.31	0.0	lamont	105.12	0.0	1.31
greg	102.73	0.17	2.06	greg	102.73	2.06	0.17
wisconsinites	102.03	1.27	0.0	wisconsinites	102.03	0.0	1.27
reynolds	101.26	0.04	1.56	reynolds	101.26	1.56	0.04
portal.ct.gov/wallofhonor	100.48	1.25	0.0	portal.ct.gov/wallofhonor	100.48	0.0	1.25
connecticut's	100.48	1.25	0.0	connecticut's	100.48	0.0	1.25
sd	100.32	0.0	1.33	sd	100.32	1.33	0.0
provides	100.26	2.31	6.14	provides	100.26	6.14	2.31
testnebraska.com	99.08	0.0	1.32	testnebraska.com	99.08	1.32	0.0
ducey	97.84	0.0	1.3	ducey	97.84	1.3	0.0
arizonans	97.84	0.0	1.3	arizonans	97.84	1.3	0.0
walz	97.42	1.33	0.02	walz	97.42	0.02	1.33
know	96.93	12.56	6.84	know	96.93	6.84	12.56
livestream.com/govdunleavy/ev	96.6	0.0	1.28	livestream.com/govdunleavy/ev	96.6	1.28	0.0
washingtonians	95.85	1.19	0.0	washingtonians	95.85	0.0	1.19
ny	95.82	1.96	0.2	ny	95.82	0.2	1.96
lgbtq	95.69	1.46	0.05	lgbtq	95.69	0.05	1.46
phase	94.15	6.2	2.47	phase	94.15	2.47	6.2
northam	93.9	1.36	0.03	northam	93.9	0.03	1.36
colorado's	92.75	1.15	0.0	colorado's	92.75	0.0	1.15
ks	92.75	1.15	0.0	ks	92.75	0.0	1.15
gillespie	92.75	1.15	0.0	gillespie	92.75	0.0	1.15
justice	92.46	5.53	2.08	justice	92.46	2.08	5.53
regarding	92.3	1.79	5.11	regarding	92.3	5.11	1.79
wa	92.12	1.48	0.07	wa	92.12	0.07	1.48
but	91.56	20.61	13.23	but	91.56	13.23	20.61
islanders	91.36	1.25	0.02	islanders	91.36	0.02	1.25
governor.hawaii.gov	91.21	1.13	0.0	governor.hawaii.gov	91.21	0.0	1.13
died	91.18	3.9	1.14	died	91.18	1.14	3.9
citizens	90.28	1.06	3.79	citizens	90.28	3.79	1.06
mexico's	89.43	1.31	0.03	mexico's	89.43	0.03	1.31
wearing	88.97	5.26	1.96	wearing	88.97	1.96	5.26
cases	88.34	9.93	5.12	cases	88.34	5.12	9.93
gina	88.12	1.09	0.0	gina	88.12	0.0	1.09
governor.wv.gov	88.12	1.09	0.0	governor.wv.gov	88.12	0.0	1.09
ct-n	88.12	1.09	0.0	ct-n	88.12	0.0	1.09
oklahoma's	87.93	0.0	1.17	oklahoma's	87.93	1.17	0.0
utah's	87.93	0.0	1.17	utah's	87.93	1.17	0.0
racism	87.58	1.54	0.1	racism	87.58	0.1	1.54
1:30	87.04	0.61	2.87	1:30	87.04	2.87	0.61
honolulu	86.81	1.19	0.02	honolulu	86.81	0.02	1.19
or	86.32	23.03	15.38	or	86.32	15.38	23.03
that's	85.75	7.34	3.36	that's	85.75	3.36	7.34
stitt	85.46	0.0	1.14	stitt	85.46	1.14	0.0
smith	84.65	0.23	1.94	smith	84.65	1.94	0.23
brad	84.56	0.04	1.33	brad	84.56	1.33	0.04
sununu	84.22	0.0	1.12	sununu	84.22	1.12	0.0
va	83.83	1.69	0.16	va	83.83	0.16	1.69
coverings	83.7	2.5	0.49	coverings	83.7	0.49	2.5
vote	83.54	12.16	6.89	vote	83.54	6.89	12.16
lujan	83.48	1.04	0.0	lujan	83.48	0.0	1.04
virginia's	83.48	1.04	0.0	virginia's	83.48	0.0	1.04
atlanta	83.41	0.1	1.53	atlanta	83.41	1.53	0.1
19	83.29	43.97	33.29	19	83.29	33.29	43.97
ca	82.5	1.67	0.16	ca	82.5	0.16	1.67
trafficking	82.18	0.04	1.3	trafficking	82.18	1.3	0.04
nevada's	81.93	1.02	0.0	nevada's	81.93	0.0	1.02
serve	81.92	2.23	5.57	serve	81.92	5.57	2.23
mn	81.9	1.4	0.08	mn	81.9	0.08	1.4
when	81.85	15.31	9.36	when	81.85	9.36	15.31
marylanders	81.74	0.0	1.09	marylanders	81.74	1.09	0.0
nytimes.com	81.32	1.56	0.13	nytimes.com	81.32	0.13	1.56
raw	80.76	1.11	0.02	raw	80.76	0.02	1.11
nation	80.68	3.82	7.91	nation	80.68	7.91	3.82
kentucky's	80.5	0.0	1.07	kentucky's	80.5	1.07	0.0
missouri's	80.5	0.0	1.07	missouri's	80.5	1.07	0.0
maryland's	80.5	0.0	1.07	maryland's	80.5	1.07	0.0
baltimore	80.5	0.0	1.07	baltimore	80.5	1.07	0.0
ralph's	80.39	1.0	0.0	ralph's	80.39	0.0	1.0
crime	80.0	0.33	2.11	crime	80.0	2.11	0.33
alaska's	79.8	0.04	1.27	alaska's	79.8	1.27	0.04
tom	79.58	2.5	0.53	tom	79.58	0.53	2.5
mills	79.25	1.09	0.02	mills	79.25	0.02	1.09
instant	79.25	1.09	0.02	instant	79.25	0.02	1.09
georgia's	78.94	0.02	1.17	georgia's	78.94	1.17	0.02
raimondo	78.84	0.98	0.0	raimondo	78.84	0.0	0.98
2/2	78.43	0.25	1.89	2/2	78.43	1.89	0.25
election	77.89	7.47	3.61	election	77.89	3.61	7.47
douglas	77.75	1.29	0.07	douglas	77.75	0.07	1.29
ivey	77.73	0.02	1.15	ivey	77.73	1.15	0.02
minnesota's	77.29	0.96	0.0	minnesota's	77.29	0.0	0.96
honored	76.97	2.44	5.77	honored	76.97	5.77	2.44
tour	76.7	1.5	4.27	tour	76.7	4.27	1.5
trade	76.25	0.48	2.39	trade	76.25	2.39	0.48
hospitalized	76.11	2.15	0.4	hospitalized	76.11	0.4	2.15
jb	75.75	0.94	0.0	jb	75.75	0.0	0.94
gov.idaho.gov	75.55	0.0	1.0	gov.idaho.gov	75.55	1.0	0.0
lee	75.34	0.48	2.37	lee	75.34	2.37	0.48
arizona's	75.31	0.02	1.12	arizona's	75.31	1.12	0.02
masks	75.29	7.09	3.39	masks	75.29	3.39	7.09
up	75.05	24.64	17.2	up	75.05	17.2	24.64
al	74.86	0.46	2.32	al	74.86	2.32	0.46
vegas	74.72	1.04	0.02	vegas	74.72	0.02	1.04
roy	74.56	1.46	0.13	roy	74.56	0.13	1.46
dakotans	74.31	0.0	0.99	dakotans	74.31	0.99	0.0
ballot	74.19	3.92	1.35	ballot	74.19	1.35	3.92
granite	74.1	0.02	1.1	granite	74.1	1.1	0.02
nc	73.8	1.17	0.05	nc	73.8	0.05	1.17
delay	73.32	1.67	0.21	delay	73.32	0.21	1.67
iowans	73.25	0.06	1.25	iowans	73.25	1.25	0.06
grisham	73.21	1.02	0.02	grisham	73.21	0.02	1.02
carney	73.21	1.02	0.02	carney	73.21	0.02	1.02
assessment	73.1	0.08	1.32	assessment	73.1	1.32	0.08
you're	72.66	5.13	2.12	you're	72.66	2.12	5.13
facebook.com/govnedlamont	72.66	0.9	0.0	facebook.com/govnedlamont	72.66	0.0	0.9
idahoans	71.83	0.0	0.96	idahoans	71.83	0.96	0.0
don't	71.33	8.86	4.74	don't	71.33	4.74	8.86
press	71.2	6.26	10.92	press	71.2	10.92	6.26
canvass	71.11	0.88	0.0	canvass	71.11	0.0	0.88
de.gov/coronavirus	71.11	0.88	0.0	de.gov/coronavirus	71.11	0.0	0.88
ents	70.82	0.08	1.28	ents	70.82	1.28	0.08
2nd	70.77	0.48	2.29	2nd	70.77	2.29	0.48
dems	70.62	1.19	0.07	dems	70.62	0.07	1.19
dept	70.5	0.86	3.03	dept	70.5	3.03	0.86
progressive	70.17	1.06	0.03	progressive	70.17	0.03	1.06
morning	69.87	5.8	10.26	morning	69.87	10.26	5.8
youtu.be/z01ecoar1kk	69.57	0.86	0.0	youtu.be/z01ecoar1kk	69.57	0.0	0.86
tony	69.53	1.29	0.1	tony	69.53	0.1	1.29
yorkers	69.45	1.11	0.05	yorkers	69.45	0.05	1.11
briefing	68.61	11.43	6.75	briefing	68.61	6.75	11.43
rights	68.46	4.17	1.58	rights	68.46	1.58	4.17
continued	68.3	1.21	3.59	continued	68.3	3.59	1.21
austin	68.12	0.12	1.37	austin	68.12	1.37	0.12
bevin	68.06	0.02	1.02	bevin	68.06	1.02	0.02
coloradans	68.02	0.85	0.0	coloradans	68.02	0.0	0.85
enjoyed	67.92	0.54	2.36	enjoyed	67.92	2.36	0.54
twitter.com/i/broadcasts/1	67.78	1.15	0.07	twitter.com/i/broadcasts/1	67.78	0.07	1.15
elect	67.3	2.07	0.43	elect	67.3	0.43	2.07
do	66.89	21.26	14.74	do	66.89	14.74	21.26
vt	66.79	0.04	1.09	vt	66.79	1.09	0.04
growth	66.77	1.46	3.97	growth	66.77	3.97	1.46
enforcement	66.64	1.94	4.73	enforcement	66.64	4.73	1.94
illinoisans	66.47	0.83	0.0	illinoisans	66.47	0.0	0.83
startribune.com	66.47	0.83	0.0	startribune.com	66.47	0.0	0.83
economic	66.11	5.01	9.08	economic	66.11	9.08	5.01
floridians	65.65	0.02	0.99	floridians	65.65	0.99	0.02
parsonupdates.com	65.64	0.0	0.87	parsonupdates.com	65.64	0.87	0.0
conservative	65.5	0.13	1.38	conservative	65.5	1.38	0.13
steve	65.0	2.5	0.66	steve	65.0	0.66	2.5
must	64.93	11.58	6.98	must	64.93	6.98	11.58
wisconsin's	64.93	0.81	0.0	wisconsin's	64.93	0.0	0.81
rauner	64.93	0.81	0.0	rauner	64.93	0.0	0.81
strong	64.9	3.07	6.36	strong	64.9	6.36	3.07
can't	64.77	5.32	2.39	can't	64.77	2.39	5.32
eric	64.49	0.27	1.71	eric	64.49	1.71	0.27
systemic	64.29	0.98	0.03	systemic	64.29	0.03	0.98
sadly	64.17	1.4	0.16	sadly	64.17	0.16	1.4
1/2	63.94	0.75	2.68	1/2	63.94	2.68	0.75
need	63.48	20.05	13.89	need	63.48	13.89	20.05
maui	63.38	0.79	0.0	maui	63.38	0.0	0.79
lamont's	63.38	0.79	0.0	lamont's	63.38	0.0	0.79
iwillvote.com	63.38	0.79	0.0	iwillvote.com	63.38	0.0	0.79
governor's	62.74	2.25	5.09	governor's	62.74	5.09	2.25
doors	62.37	2.48	0.68	doors	62.37	0.68	2.48
opportunity	62.34	3.67	7.12	opportunity	62.34	7.12	3.67
ed	62.13	1.84	0.36	ed	62.13	0.36	1.84
voter	62.0	1.81	0.35	voter	62.0	0.35	1.81
utahns	61.92	0.0	0.82	utahns	61.92	0.82	0.0
team	61.81	5.42	9.45	team	61.81	9.45	5.42
montana's	61.17	0.86	0.02	montana's	61.17	0.02	0.86
kevin	60.99	0.1	1.2	kevin	60.99	1.2	0.1
desantis	60.9	0.04	1.0	desantis	60.9	1.0	0.04
stay	60.88	11.31	6.9	stay	60.88	6.9	11.31
alabama's	60.83	0.02	0.92	alabama's	60.83	0.92	0.02
bruce	60.82	1.0	0.05	bruce	60.82	0.05	1.0
nebraskans	60.69	0.0	0.81	nebraskans	60.69	0.81	0.0
hst	60.29	0.75	0.0	hst	60.29	0.0	0.75
development	59.42	1.71	4.18	development	59.42	4.18	1.71
opportunities	59.39	1.48	3.82	opportunities	59.39	3.82	1.48
michelle	59.38	0.98	0.05	michelle	59.38	0.05	0.98
wash	59.23	2.48	0.71	wash	59.23	0.71	2.48
taxes	58.92	0.65	2.4	taxes	58.92	2.4	0.65
trump	58.85	7.89	4.35	trump	58.85	4.35	7.89
brown	58.76	1.96	0.44	brown	58.76	0.44	1.96
pritzker	58.74	0.73	0.0	pritzker	58.74	0.0	0.73
voters	58.65	3.46	1.28	voters	58.65	1.28	3.46
pleased	58.63	0.96	2.95	pleased	58.63	2.95	0.96
giving	58.59	3.67	1.42	giving	58.59	1.42	3.67
kay	58.38	0.08	1.1	kay	58.38	1.1	0.08
live	58.23	17.17	23.69	live	58.23	23.69	17.17
portland	58.17	0.83	0.02	portland	58.17	0.02	0.83
staying	57.93	2.86	0.94	staying	57.93	0.94	2.86
million	57.7	6.03	10.1	million	57.7	10.1	6.03
mail	57.63	1.77	0.36	mail	57.63	0.36	1.77
isn't	57.47	2.82	0.92	isn't	57.47	0.92	2.82
blessed	57.36	0.25	1.55	blessed	57.36	1.55	0.25
military	57.34	0.81	2.65	military	57.34	2.65	0.81
jennie	57.23	0.02	0.87	jennie	57.23	0.87	0.02
coronavirus.wv.gov	57.2	0.71	0.0	coronavirus.wv.gov	57.2	0.0	0.71
denverpost.com	57.2	0.71	0.0	denverpost.com	57.2	0.0	0.71
denver	57.2	0.71	0.0	denver	57.2	0.0	0.71
mass.gov/covid19live	56.97	0.0	0.76	mass.gov/covid19live	56.97	0.76	0.0
kentuckians	56.97	0.0	0.76	kentuckians	56.97	0.76	0.0
providence	56.67	0.81	0.02	providence	56.67	0.02	0.81
reproductive	56.67	0.81	0.02	reproductive	56.67	0.02	0.81
says	56.59	7.26	3.94	says	56.59	3.94	7.26
yet	56.09	3.07	1.09	yet	56.09	1.09	3.07
pfd	56.03	0.02	0.86	pfd	56.03	0.86	0.02
wyoming's	56.03	0.02	0.86	wyoming's	56.03	0.86	0.02
azdhs	55.73	0.0	0.74	azdhs	55.73	0.74	0.0
azdhs.gov	55.73	0.0	0.74	azdhs.gov	55.73	0.74	0.0
portal.ct.gov	55.65	0.69	0.0	portal.ct.gov	55.65	0.0	0.69
investment	55.57	1.23	3.33	investment	55.57	3.33	1.23
your	55.22	37.0	28.96	your	55.22	28.96	37.0
hall	55.11	1.63	3.95	hall	55.11	3.95	1.63
men	55.02	1.4	3.59	men	55.02	3.59	1.4
collaboration	54.92	0.21	1.42	collaboration	54.92	1.42	0.21
supreme	54.88	2.21	0.61	supreme	54.88	0.61	2.21
ky	54.83	0.02	0.84	ky	54.83	0.84	0.02
gordon	54.83	0.06	0.99	gordon	54.83	0.99	0.06
commerce	54.54	0.35	1.71	commerce	54.54	1.71	0.35
usmca	54.49	0.0	0.72	usmca	54.49	0.72	0.0
staters	54.49	0.0	0.72	staters	54.49	0.72	0.0
facebook.com/govlaurakelly/	54.11	0.67	0.0	facebook.com/govlaurakelly/	54.11	0.0	0.67
iwillvote.com/va	54.11	0.67	0.0	iwillvote.com/va	54.11	0.0	0.67
governor.kansas.gov	54.04	0.85	0.03	governor.kansas.gov	54.04	0.03	0.85
veterans	53.96	1.33	3.44	veterans	53.96	3.44	1.33
youtube	53.74	2.09	0.56	youtube	53.74	0.56	2.09
knock	53.68	0.9	0.05	knock	53.68	0.05	0.9
sioux	53.63	0.02	0.82	sioux	53.63	0.82	0.02
governor.alabama.gov	53.26	0.0	0.71	governor.alabama.gov	53.26	0.71	0.0
immunization	53.26	0.0	0.71	immunization	53.26	0.71	0.0
de	52.91	2.61	0.86	de	52.91	0.86	2.61
summit	52.87	0.5	1.99	summit	52.87	1.99	0.5
bless	52.79	0.08	1.02	bless	52.79	1.02	0.08
we're	52.65	16.83	11.68	we're	52.65	11.68	16.83
abqjournal.com	52.56	0.65	0.0	abqjournal.com	52.56	0.0	0.65
1-800-887-4304	52.56	0.65	0.0	1-800-887-4304	52.56	0.0	0.65
providencejournal.com	52.56	0.65	0.0	providencejournal.com	52.56	0.0	0.65
dreamers	52.56	0.65	0.0	dreamers	52.56	0.0	0.65
nathaniel	52.55	0.06	0.96	nathaniel	52.55	0.96	0.06
democracy	52.37	1.5	0.28	democracy	52.37	0.28	1.5
note	52.34	1.71	0.38	note	52.34	0.38	1.71
dewine	52.02	0.0	0.69	dewine	52.02	0.69	0.0
lincoln	51.88	0.27	1.5	lincoln	51.88	1.5	0.27
iowa's	51.55	0.04	0.87	iowa's	51.55	0.87	0.04
facility	51.41	1.02	2.88	facility	51.41	2.88	1.02
currently	51.24	3.52	1.43	currently	51.24	1.43	3.52
secretary-designee	51.01	0.63	0.0	secretary-designee	51.01	0.0	0.63
nv	50.84	0.86	0.05	nv	50.84	0.05	0.86
arkansans	50.78	0.0	0.68	arkansans	50.78	0.68	0.0
ma	50.78	0.12	1.1	ma	50.78	1.1	0.12
fatalities	50.21	1.19	0.16	fatalities	50.21	0.16	1.19
color	50.08	1.46	0.28	color	50.08	0.28	1.46
sure	49.7	8.28	4.89	sure	49.7	4.89	8.28
facebook.com/govrondesantis	49.54	0.0	0.66	facebook.com/govrondesantis	49.54	0.66	0.0
bit.ly/2z9cjqa	49.47	0.61	0.0	bit.ly/2z9cjqa	49.47	0.0	0.61
bit.ly/3ebycc8	49.47	0.61	0.0	bit.ly/3ebycc8	49.47	0.0	0.61
ncdps.gov/news-conference	49.47	0.61	0.0	ncdps.gov/news-conference	49.47	0.0	0.61
reopening	48.99	6.38	3.48	reopening	48.99	3.48	6.38
neighbors	48.72	3.98	1.78	neighbors	48.72	1.78	3.98
equality	48.32	1.67	0.4	equality	48.32	0.4	1.67
foxnews.com	48.3	0.0	0.64	foxnews.com	48.3	0.64	0.0
bit.ly/2jcd4zd	48.3	0.0	0.64	bit.ly/2jcd4zd	48.3	0.64	0.0
prayers	48.29	0.73	2.32	prayers	48.29	2.32	0.73
newsom	48.23	0.77	0.03	newsom	48.23	0.03	0.77
phoenix	48.06	0.04	0.82	phoenix	48.06	0.82	0.04
fired	48.03	1.63	0.38	fired	48.03	0.38	1.63
criminals	48.01	0.06	0.89	criminals	48.01	0.89	0.06
chicago	48.01	0.83	0.05	chicago	48.01	0.05	0.83
11:30	47.94	1.11	0.15	11:30	47.94	0.15	1.11
producers	47.76	0.19	1.25	producers	47.76	1.25	0.19
at	47.63	60.39	70.96	at	47.63	70.96	60.39
basic	47.27	0.92	0.08	basic	47.27	0.08	0.92
ct	47.23	1.65	3.77	ct	47.23	3.77	1.65
ms	46.97	0.42	1.73	ms	46.97	1.73	0.42
janet	46.59	0.96	0.1	janet	46.59	0.1	0.96
click	46.54	1.48	3.49	click	46.54	3.49	1.48
pressherald.com	46.38	0.58	0.0	pressherald.com	46.38	0.0	0.58
iwillvote.com/il	46.38	0.58	0.0	iwillvote.com/il	46.38	0.0	0.58
sisolak	46.38	0.58	0.0	sisolak	46.38	0.0	0.58
secure.actblue.com	46.38	0.58	0.0	secure.actblue.com	46.38	0.0	0.58
manufacturing	46.16	0.65	2.14	manufacturing	46.16	2.14	0.65
obama	46.08	1.0	0.12	obama	46.08	0.12	1.0
outbreak	45.92	1.48	3.48	outbreak	45.92	3.48	1.48
